Time,Load
4/4/2019 12:00:00 AM,17158
4/4/2019 1:00:00 AM,17324
4/4/2019 2:00:00 AM,17651
4/4/2019 3:00:00 AM,18453
4/4/2019 4:00:00 AM,19447
4/4/2019 5:00:00 AM,20585
4/4/2019 6:00:00 AM,21476
4/4/2019 7:00:00 AM,21341
4/4/2019 8:00:00 AM,20773
4/4/2019 9:00:00 AM,20290
4/4/2019 10:00:00 AM,19790
4/4/2019 11:00:00 AM,19681
4/4/2019 12:00:00 PM,19508
4/4/2019 1:00:00 PM,19351
4/4/2019 3:00:00 PM,19194
4/4/2019 4:00:00 PM,19198
4/4/2019 5:00:00 PM,19227
4/4/2019 6:00:00 PM,19258
4/4/2019 7:00:00 PM,19217
4/4/2019 8:00:00 PM,18830
4/4/2019 9:00:00 PM,18235
4/4/2019 10:00:00 PM,17471
4/4/2019 11:00:00 PM,17058
